Id,Action
1,0.117397
2,0.912059
3,0.957310
4,0.934607
5,0.973602
6,0.940300
7,0.959490
8,0.991521
9,0.545129
10,0.939390
11,0.803936
12,0.908972
13,0.893301
14,0.646000
15,0.493882
16,0.732680
17,0.474631
18,0.457998
19,0.946122
20,0.951266
21,0.980897
22,0.916242
23,0.850855
24,0.960493
25,0.967987
26,0.614887
27,0.872906
28,0.579276
29,0.902544
30,0.786514
31,0.882510
32,0.911847
33,0.919429
34,0.970221
35,0.960306
36,0.920519
37,0.926750
38,0.984686
39,0.884724
40,0.598443
41,0.867948
42,0.894923
43,0.903319
44,0.916789
45,0.910517
46,0.902005
47,0.959574
48,0.923893
49,0.993250
50,0.917265
51,0.396965
52,0.946914
53,0.894943
54,0.953272
55,0.901972
56,0.885136
57,0.862259
58,0.976632
59,0.915055
60,0.919817
61,0.970141
62,0.974643
63,0.932067
64,0.965886
65,0.988206
66,0.947676
67,0.874380
68,0.957860
69,0.730728
70,0.206544
71,0.889576
72,0.936390
73,0.949227
74,0.954874
75,0.862562
76,0.926919
77,0.970257
78,0.737649
79,0.061215
80,0.976030
81,0.956654
82,0.970876
83,0.930223
84,0.939081
85,0.796982
86,0.867223
87,0.928741
88,0.936303
89,0.941780
90,0.318738
91,0.870094
92,0.300062
93,0.961870
94,0.809049
95,0.905521
96,0.907924
97,0.010900
98,0.956108
99,0.949972
100,0.966972
101,0.719203
102,0.058507
103,0.873894
104,0.849139
105,0.079166
106,0.950880
107,0.946687
108,0.923938
109,0.959924
110,0.920620
111,0.168374
112,0.932510
113,0.744730
114,0.929409
115,0.799907
116,0.773729
117,0.941730
118,0.947191
119,0.987250
120,0.876147
121,0.591818
122,0.881886
123,0.827431
124,0.920051
125,0.966973
126,0.776798
127,0.310958
128,0.555563
129,0.549858
130,0.919985
131,0.929803
132,0.938823
133,0.913317
134,0.310019
135,0.964999
136,0.640296
137,0.957371
138,0.833254
139,0.621797
140,0.955636
141,0.936949
142,0.739757
143,0.965520
144,0.958520
145,0.955282
146,0.572929
147,0.469328
148,0.524955
149,0.954151
150,0.893498
151,0.921475
152,0.523456
153,0.937312
154,0.732226
155,0.960589
156,0.644813
157,0.842758
158,0.910816
159,0.237924
160,0.873622
161,0.340000
162,0.873614
163,0.970742
164,0.808262
165,0.963946
166,0.931644
167,0.701747
168,0.880556
169,0.860987
170,0.962466
171,0.884962
172,0.770510
173,0.635398
174,0.915184
175,0.909828
176,0.923603
177,0.689076
178,0.929847
179,0.987118
180,0.544584
181,0.062159
182,0.892452
183,0.636597
184,0.459232
185,0.924997
186,0.650039
187,0.844515
188,0.774352
189,0.041473
190,0.848890
191,0.973113
192,0.883585
193,0.950905
194,0.953670
195,0.792454
196,0.962859
197,0.873962
198,0.888707
199,0.938363
200,0.045272
201,0.902614
202,0.870034
203,0.930949
204,0.757302
205,0.946740
206,0.914772
207,0.953059
208,0.839095
209,0.168975
210,0.126590
211,0.629611
212,0.919464
213,0.956932
214,0.844539
215,0.899609
216,0.249475
217,0.761225
218,0.908083
219,0.942201
220,0.750369
221,0.112738
222,0.979866
223,0.926971
224,0.840910
225,0.931677
226,0.077317
227,0.596356
228,0.952309
229,0.975373
230,0.924927
231,0.750629
232,0.557160
233,0.836776
234,0.026135
235,0.736885
236,0.772174
237,0.939767
238,0.925578
239,0.561618
240,0.970512
241,0.942344
242,0.121968
243,0.041613
244,0.939597
245,0.905675
246,0.980805
247,0.850498
248,0.914337
249,0.981973
250,0.974770
251,0.889913
252,0.551749
253,0.949890
254,0.965640
255,0.975254
256,0.882823
257,0.935784
258,0.567129
259,0.902250
260,0.972659
261,0.940939
262,0.796877
263,0.863545
264,0.940504
265,0.967075
266,0.834226
267,0.955856
268,0.950784
269,0.981429
270,0.947705
271,0.909210
272,0.807100
273,0.951747
274,0.050923
275,0.955139
276,0.485417
277,0.925412
278,0.962888
279,0.915998
280,0.822953
281,0.984532
282,0.935225
283,0.858293
284,0.870807
285,0.951369
286,0.668878
287,0.992717
288,0.929337
289,0.914599
290,0.956632
291,0.156454
292,0.355892
293,0.902294
294,0.804428
295,0.833593
296,0.020589
297,0.043772
298,0.710524
299,0.185444
300,0.875110
301,0.551687
302,0.954069
303,0.356714
304,0.435457
305,0.957131
306,0.919918
307,0.787713
308,0.990522
309,0.878326
310,0.946284
311,0.949180
312,0.913332
313,0.960989
314,0.964046
315,0.972654
316,0.921266
317,0.501046
318,0.972880
319,0.802410
320,0.963396
321,0.928940
322,0.014276
323,0.977958
324,0.963044
325,0.950050
326,0.746038
327,0.973574
328,0.975305
329,0.908635
330,0.961332
331,0.925583
332,0.905449
333,0.967707
334,0.738844
335,0.960831
336,0.796375
337,0.892722
338,0.758283
339,0.858321
340,0.911847
341,0.969346
342,0.872666
343,0.754241
344,0.975072
345,0.942799
346,0.923620
347,0.901258
348,0.857451
349,0.963676
350,0.596984
351,0.877543
352,0.982697
353,0.906818
354,0.152495
355,0.914498
356,0.942332
357,0.701743
358,0.916128
359,0.847044
360,0.067950
361,0.815770
362,0.915663
363,0.844335
364,0.388183
365,0.983741
366,0.963865
367,0.941911
368,0.947596
369,0.843394
370,0.896648
371,0.913881
372,0.919585
373,0.216405
374,0.038296
375,0.869742
376,0.802903
377,0.039695
378,0.925496
379,0.961247
380,0.127770
381,0.613091
382,0.926335
383,0.993587
384,0.888417
385,0.848690
386,0.918035
387,0.349633
388,0.875800
389,0.939491
390,0.952154
391,0.616436
392,0.988367
393,0.792404
394,0.962080
395,0.697273
396,0.936694
397,0.968951
398,0.910906
399,0.884394
400,0.903408
401,0.897872
402,0.924992
403,0.934666
404,0.834227
405,0.903219
406,0.723952
407,0.552406
408,0.888945
409,0.886712
410,0.964915
411,0.978835
412,0.499867
413,0.216374
414,0.757281
415,0.927746
416,0.949380
417,0.939569
418,0.865647
419,0.754865
420,0.898565
421,0.982285
422,0.940196
423,0.742738
424,0.539613
425,0.964528
426,0.862889
427,0.958247
428,0.922003
429,0.869945
430,0.951951
431,0.911066
432,0.750035
433,0.850416
434,0.791244
435,0.961831
436,0.991917
437,0.941526
438,0.044330
439,0.877671
440,0.030413
441,0.737721
442,0.982184
443,0.957501
444,0.917984
445,0.717734
446,0.953806
447,0.802936
448,0.971941
449,0.879465
450,0.950536
451,0.486110
452,0.911455
453,0.923591
454,0.605173
455,0.876396
456,0.949173
457,0.973090
458,0.886509
459,0.971550
460,0.116799
461,0.484504
462,0.967639
463,0.867040
464,0.913838
465,0.938973
466,0.981594
467,0.020676
468,0.883992
469,0.943095
470,0.944062
471,0.908945
472,0.924343
473,0.945413
474,0.898083
475,0.839272
476,0.915168
477,0.948931
478,0.908051
479,0.926178
480,0.964806
481,0.952941
482,0.897324
483,0.976269
484,0.861680
485,0.910484
486,0.833313
487,0.844803
488,0.878381
489,0.944970
490,0.848221
491,0.911557
492,0.879817
493,0.797070
494,0.949685
495,0.870096
496,0.988207
497,0.941599
498,0.963141
499,0.963635
500,0.806722
501,0.805870
502,0.547292
503,0.688200
504,0.954633
505,0.744091
506,0.964367
507,0.904048
508,0.811540
509,0.944604
510,0.016207
511,0.823490
512,0.947931
513,0.947951
514,0.261205
515,0.921778
516,0.954571
517,0.927988
518,0.382426
519,0.889477
520,0.183766
521,0.956634
522,0.609209
523,0.949107
524,0.019083
525,0.147869
526,0.045239
527,0.937571
528,0.929101
529,0.945219
530,0.977694
531,0.890255
532,0.965896
533,0.936048
534,0.759324
535,0.964636
536,0.979428
537,0.989036
538,0.951497
539,0.859946
540,0.496451
541,0.927346
542,0.869403
543,0.457165
544,0.918593
545,0.797942
546,0.950238
547,0.073964
548,0.516305
549,0.632153
550,0.798343
551,0.882456
552,0.782686
553,0.853202
554,0.820535
555,0.925822
556,0.865947
557,0.836044
558,0.812418
559,0.776925
560,0.850681
561,0.900125
562,0.913631
563,0.925048
564,0.762824
565,0.980683
566,0.915191
567,0.763625
568,0.776602
569,0.903039
570,0.896842
571,0.021312
572,0.898003
573,0.343533
574,0.203580
575,0.982752
576,0.948037
577,0.965486
578,0.925407
579,0.546868
580,0.745201
581,0.953396
582,0.965221
583,0.901610
584,0.894329
585,0.971402
586,0.758311
587,0.947565
588,0.935422
589,0.906298
590,0.371898
591,0.748576
592,0.947910
593,0.500164
594,0.981141
595,0.921970
596,0.950587
597,0.918542
598,0.777582
599,0.854556
600,0.742961
601,0.933924
602,0.723835
603,0.983174
604,0.906840
605,0.934662
606,0.917323
607,0.859850
608,0.940430
609,0.935198
610,0.701148
611,0.921362
612,0.887025
613,0.910985
614,0.104691
615,0.981555
616,0.021075
617,0.885907
618,0.865369
619,0.977775
620,0.872144
621,0.899064
622,0.842241
623,0.916542
624,0.134122
625,0.840696
626,0.947910
627,0.932920
628,0.866796
629,0.978777
630,0.964472
631,0.915737
632,0.835680
633,0.958211
634,0.941556
635,0.655942
636,0.937908
637,0.858574
638,0.834234
639,0.697915
640,0.917767
641,0.952139
642,0.827214
643,0.800333
644,0.881219
645,0.976911
646,0.212764
647,0.869965
648,0.553981
649,0.934803
650,0.774000
651,0.877712
652,0.958275
653,0.036269
654,0.876585
655,0.521770
656,0.944705
657,0.831055
658,0.896093
659,0.854984
660,0.942340
661,0.938333
662,0.864617
663,0.915242
664,0.888791
665,0.541439
666,0.230081
667,0.515239
668,0.877143
669,0.879659
670,0.298361
671,0.670646
672,0.690826
673,0.060667
674,0.859720
675,0.752689
676,0.909655
677,0.864757
678,0.890171
679,0.919165
680,0.838923
681,0.212129
682,0.692941
683,0.910630
684,0.906718
685,0.813847
686,0.896436
687,0.875839
688,0.895103
689,0.919538
690,0.954563
691,0.935304
692,0.886316
693,0.546127
694,0.819994
695,0.944179
696,0.172649
697,0.969829
698,0.934460
699,0.905517
700,0.891129
701,0.772743
702,0.953968
703,0.923488
704,0.597944
705,0.244469
706,0.777374
707,0.385482
708,0.955053
709,0.823921
710,0.931133
711,0.371625
712,0.735368
713,0.966788
714,0.954363
715,0.943710
716,0.647405
717,0.841640
718,0.886519
719,0.777708
720,0.768985
721,0.821099
722,0.944188
723,0.899689
724,0.902678
725,0.928299
726,0.628507
727,0.950593
728,0.961378
729,0.282885
730,0.837072
731,0.752298
732,0.972237
733,0.954285
734,0.989656
735,0.753148
736,0.053278
737,0.854939
738,0.919563
739,0.918098
740,0.984704
741,0.980565
742,0.839205
743,0.871736
744,0.952437
745,0.962234
746,0.953311
747,0.961073
748,0.927113
749,0.953814
750,0.988946
751,0.831807
752,0.833760
753,0.704048
754,0.955885
755,0.928396
756,0.455526
757,0.977884
758,0.956443
759,0.825378
760,0.915819
761,0.899271
762,0.752564
763,0.520845
764,0.658937
765,0.958950
766,0.889488
767,0.787925
768,0.934475
769,0.902617
770,0.793103
771,0.969381
772,0.838873
773,0.934019
774,0.897854
775,0.951456
776,0.234876
777,0.778341
778,0.899820
779,0.959624
780,0.378492
781,0.534692
782,0.915176
783,0.941180
784,0.876371
785,0.110139
786,0.702928
787,0.980561
788,0.730919
789,0.925013
790,0.894060
791,0.880930
792,0.937793
793,0.879613
794,0.771308
795,0.946782
796,0.830619
797,0.928961
798,0.909034
799,0.691625
800,0.966493
801,0.885639
802,0.934256
803,0.745344
804,0.872809
805,0.891530
806,0.921801
807,0.715591
808,0.648832
809,0.938501
810,0.930302
811,0.879472
812,0.078021
813,0.965125
814,0.774197
815,0.124787
816,0.960275
817,0.964867
818,0.845945
819,0.906097
820,0.711158
821,0.755119
822,0.925445
823,0.967199
824,0.931830
825,0.951154
826,0.886896
827,0.948826
828,0.848467
829,0.908898
830,0.972174
831,0.181551
832,0.989805
833,0.884866
834,0.914809
835,0.942265
836,0.726346
837,0.794868
838,0.944209
839,0.380251
840,0.876070
841,0.654606
842,0.981061
843,0.968605
844,0.965021
845,0.815722
846,0.949028
847,0.936928
848,0.945665
849,0.765229
850,0.063422
851,0.972313
852,0.707945
853,0.840426
854,0.024621
855,0.941272
856,0.946877
857,0.885495
858,0.934009
859,0.897612
860,0.978629
861,0.917056
862,0.786741
863,0.927948
864,0.832447
865,0.056817
866,0.900911
867,0.909282
868,0.782068
869,0.887081
870,0.955113
871,0.941849
872,0.782618
873,0.928525
874,0.653333
875,0.935053
876,0.827788
877,0.946594
878,0.950594
879,0.916869
880,0.846737
881,0.586102
882,0.960678
883,0.962055
884,0.566541
885,0.746960
886,0.958524
887,0.849947
888,0.924197
889,0.821454
890,0.988582
891,0.975142
892,0.601004
893,0.503369
894,0.932959
895,0.933374
896,0.936617
897,0.175394
898,0.948759
899,0.664193
900,0.960704
901,0.937355
902,0.940957
903,0.956901
904,0.910917
905,0.939300
906,0.966776
907,0.976734
908,0.994602
909,0.734299
910,0.806063
911,0.353910
912,0.865479
913,0.941432
914,0.968415
915,0.843260
916,0.865184
917,0.867704
918,0.912460
919,0.942962
920,0.943435
921,0.749587
922,0.967041
923,0.493024
924,0.805205
925,0.200924
926,0.930763
927,0.909728
928,0.965111
929,0.943959
930,0.975894
931,0.935005
932,0.941328
933,0.947123
934,0.819961
935,0.887798
936,0.675682
937,0.910163
938,0.937267
939,0.793281
940,0.874838
941,0.929945
942,0.962519
943,0.092286
944,0.910637
945,0.840287
946,0.885992
947,0.921181
948,0.831051
949,0.945915
950,0.963342
951,0.979056
952,0.066561
953,0.951994
954,0.843266
955,0.913860
956,0.073937
957,0.948351
958,0.647518
959,0.032636
960,0.833295
961,0.780813
962,0.943273
963,0.912362
964,0.656803
965,0.869784
966,0.636644
967,0.762144
968,0.309924
969,0.904024
970,0.653136
971,0.910583
972,0.959503
973,0.952286
974,0.926943
975,0.853369
976,0.825169
977,0.835606
978,0.546355
979,0.637303
980,0.049621
981,0.966369
982,0.953951
983,0.991861
984,0.026851
985,0.944885
986,0.844264
987,0.989836
988,0.915964
989,0.836514
990,0.103084
991,0.049355
992,0.757684
993,0.988719
994,0.953798
995,0.871972
996,0.960868
997,0.123862
998,0.814081
999,0.862105
1000,0.889676
1001,0.942044
1002,0.915383
1003,0.743925
1004,0.903269
1005,0.963716
1006,0.843451
1007,0.973077
1008,0.946690
1009,0.952209
1010,0.932490
1011,0.974174
1012,0.895720
1013,0.949765
1014,0.780973
1015,0.904718
1016,0.958272
1017,0.049699
1018,0.824104
1019,0.846829
1020,0.923958
1021,0.927008
1022,0.918908
1023,0.846109
1024,0.968160
1025,0.519721
1026,0.857383
1027,0.978062
1028,0.961434
1029,0.928672
1030,0.920923
1031,0.875644
1032,0.988271
1033,0.956703
1034,0.772482
1035,0.987860
1036,0.952265
1037,0.765466
1038,0.860231
1039,0.728941
1040,0.968230
1041,0.886393
1042,0.928117
1043,0.032025
1044,0.532826
1045,0.201421
1046,0.915972
1047,0.948320
1048,0.905375
1049,0.034089
1050,0.971953
1051,0.921683
1052,0.867201
1053,0.966670
1054,0.803877
1055,0.896262
1056,0.688874
1057,0.732156
1058,0.923876
1059,0.886258
1060,0.924480
1061,0.812868
1062,0.850158
1063,0.888020
1064,0.880587
1065,0.980779
1066,0.948993
1067,0.842599
1068,0.711201
1069,0.860935
1070,0.913904
1071,0.063486
